epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.08773333579301834,0.8094266057014465,0.06791073828935623,0.8360520005226135,0.0,0.0,0.0,0.0
1,0.10540000349283218,0.5942102074623108,0.058364346623420715,0.6170896887779236,0.0,0.0,0.0,0.0
2,0.10681666433811188,0.5240410566329956,0.05644852668046951,0.5461691617965698,0.0,0.0,0.0,0.0
3,0.1059499979019165,0.5239996314048767,0.05642026662826538,0.5461164116859436,0.0,0.0,0.0,0.0
4,0.10673333704471588,0.5239987969398499,0.056304316967725754,0.5460702180862427,0.0,0.0,0.0,0.0
5,0.10824999958276749,0.5239335894584656,0.05635543167591095,0.5460249185562134,0.0,0.0,0.0,0.0
6,0.10623333603143692,0.5238890051841736,0.056283313781023026,0.5459518432617188,0.0,0.0,0.0,0.0
7,0.10833333432674408,0.5238586664199829,0.056310877203941345,0.5459322929382324,0.0,0.0,0.0,0.0
8,0.10788333415985107,0.5237725377082825,0.056272879242897034,0.5458317399024963,0.0,0.0,0.0,0.0
9,0.10803333669900894,0.5236793160438538,0.05630956217646599,0.5457524657249451,0.0,0.0,0.0,0.0
10,0.10761666297912598,0.5237174034118652,0.05625627189874649,0.545769989490509,0.0,0.0,0.0,0.0
11,0.10828333348035812,0.5236509442329407,0.05628161504864693,0.5457132458686829,0.0,0.0,0.0,0.0
12,0.10838333517313004,0.5236225128173828,0.05625908076763153,0.5456762909889221,0.0,0.0,0.0,0.0
13,0.10885000228881836,0.5236492156982422,0.05620336905121803,0.5456811785697937,0.0,0.0,0.0,0.0
14,0.10956666618585587,0.5235714316368103,0.056252676993608475,0.5456226468086243,0.0,0.0,0.0,0.0
15,0.11031666398048401,0.523577868938446,0.056312669068574905,0.5456526279449463,0.0,0.0,0.0,0.0
16,0.1104833334684372,0.5235674977302551,0.056247152388095856,0.5456161499023438,0.0,0.0,0.0,0.0
17,0.11124999821186066,0.5235694646835327,0.05623660236597061,0.5456142425537109,0.0,0.0,0.0,0.0
18,0.11084999889135361,0.5235114097595215,0.05618637800216675,0.5455359816551208,0.0,0.0,0.0,0.0
19,0.1121833324432373,0.523506224155426,0.056232623755931854,0.545549213886261,0.0,0.0,0.0,0.0
20,0.11140000075101852,0.5234890580177307,0.05621187016367912,0.5455241799354553,0.0,0.0,0.0,0.0
21,0.11141666769981384,0.5234736800193787,0.05621757358312607,0.5455113053321838,0.0,0.0,0.0,0.0
22,0.11236666887998581,0.5234658718109131,0.05619625002145767,0.545494556427002,0.0,0.0,0.0,0.0
23,0.11236666887998581,0.5234690308570862,0.056258585304021835,0.5455224514007568,0.0,0.0,0.0,0.0
24,0.11236666887998581,0.5234465599060059,0.056206732988357544,0.545479953289032,0.0,0.0,0.0,0.0
25,0.11236666887998581,0.5234318375587463,0.05628356710076332,0.5454949736595154,0.0,0.0,0.0,0.0
26,0.11236666887998581,0.523433268070221,0.05620960518717766,0.5454672574996948,0.0,0.0,0.0,0.0
27,0.11201666295528412,0.5234208106994629,0.056232091039419174,0.5454637408256531,0.0,0.0,0.0,0.0
28,0.11236666887998581,0.523411214351654,0.056218091398477554,0.5454486012458801,0.0,0.0,0.0,0.0
29,0.11236666887998581,0.5234123468399048,0.05621510371565819,0.5454486608505249,0.0,0.0,0.0,0.0
30,0.11236666887998581,0.523399293422699,0.056155432015657425,0.5454122424125671,0.0,0.0,0.0,0.0
31,0.11236666887998581,0.5234053134918213,0.056147973984479904,0.5454155206680298,0.0,0.0,0.0,0.0
32,0.11236666887998581,0.5234026908874512,0.056199681013822556,0.5454325079917908,0.0,0.0,0.0,0.0
33,0.11236666887998581,0.5234012007713318,0.05620326101779938,0.5454326272010803,0.0,0.0,0.0,0.0
34,0.11236666887998581,0.5233899354934692,0.05625716224312782,0.545443058013916,0.0,0.0,0.0,0.0
